Year,Quarter,Sales,Expenses,Customers,Region
2018,Q1,95,82,28,North
2018,Q2,105,85,32,North
2018,Q3,125,90,35,North
2018,Q4,140,95,38,North
2019,Q1,110,88,40,North
2019,Q2,130,92,43,North
2019,Q3,145,98,48,North
2019,Q4,160,105,52,North
2020,Q1,120,100,50,North
2020,Q2,105,95,45,North
2020,Q3,140,102,52,North
2020,Q4,165,110,60,North
2021,Q1,170,115,65,North
2021,Q2,180,125,72,North
2021,Q3,210,135,80,North
2021,Q4,230,145,85,North
2018,Q1,80,70,20,South
2018,Q2,90,75,25,South
2018,Q3,110,80,30,South
2018,Q4,125,85,35,South
2019,Q1,100,80,38,South
2019,Q2,120,85,42,South
2019,Q3,135,90,46,South
2019,Q4,150,95,50,South
2020,Q1,110,90,48,South
2020,Q2,95,88,40,South
2020,Q3,130,95,50,South
2020,Q4,155,105,58,South
2021,Q1,160,110,62,South
2021,Q2,175,120,68,South
2021,Q3,195,130,75,South
2021,Q4,220,140,80,South